,benchmark_rets,returns
2013-12-16,-0.016333153055705818,0.0
2013-12-17,-0.00483835495931384,0.0
2013-12-18,0.0003314917127070771,0.0
2013-12-19,-0.010493758974925438,0.0
2013-12-02,0.036950212100915314,0.0
2013-12-20,-0.0582409301324146,0.0
2013-12-23,0.0028577960676725578,0.0
2013-12-24,0.001481819218055458,0.0
2013-12-25,0.007398133394035833,0.003170919595570698
2013-12-26,-0.017286182352276525,-0.013918311987122234
2013-12-27,0.01690043688204179,0.01362804964114428
2013-12-03,0.06059920859242518,0.0
2013-12-30,-0.05884234090182283,0.000960344494776999
2013-12-31,0.013251783893985625,0.011513077416810846
2013-12-04,0.06259780907668233,0.0
2013-12-05,-0.002945508100147265,0.0
2013-12-06,-0.006435956952943633,0.0
2013-12-09,-0.0005309546564722378,0.0
